Domain,Feature,Intended behavior,Actual behavior,Implementation status,Verification evidence,Deployment status,Remaining work,Source references
Master data,Client import,Bulk import clients,Implemented,complete,automated - verify:client-import,unverified,None,verify/verify-client-import.mts
Master data,Document import,Bulk import documents,Implemented,complete,automated - verify:docs-import 339/339,unverified,None,verify/verify-docs-import.mts
Master data,Import templates,Downloadable import templates,Implemented,complete,source,unverified,None,src/app/api/import-template/[module]/route.ts
Master data,Document export,Export document lists,Implemented,complete,source,unverified,None,src/app/(app)/documents/export/route.ts
Master data,Document numbering,Per-org per-type sequences,Implemented,complete,source,unverified,None,src/db/schema/document-sequences.ts
Master data,Taxes and tax presets,Configurable tax rates,Implemented,complete,source,unverified,None,src/app/(app)/settings/presets/actions.ts
Master data,Currencies,Multi-currency support,Implemented with currency lock after posting,complete,automated - verify-currency-lock 13/13,unverified,None,verify/verify-currency-lock.mjs
Master data,Exchange rates,Rates fetched stored and reviewable,Implemented with one-click fetch,complete,automated - verify:exchange-rates 57/57; verify:rate-fetch 27/27,unverified,None,src/lib/rates/open-er-api.ts
Master data,Payment terms and due dates,Invoice due dates from payment terms,Implemented,complete,"manual - verify-duedate.mjs is reachable by NO runner (not browser-discoverable, not named by any npm script); executed by hand in this audit, 9/9",unverified,"Wire verify-duedate.mjs into a runner, or convert it to a browser suite",verify/verify-duedate.mjs (orphaned)
Master data,Document presets and layouts,Configurable document presets,Implemented,complete,automated - verify-preset-zatca,unverified,None,src/app/(app)/settings/presets/document-preset-actions.ts
Master data,Country profiles,Per-country feature gating,Implemented; gates the ZATCA Phase 1 surface,complete,automated - verify-preset-zatca,unverified,ZATCA output not yet country-gated - asymmetry filed,src/lib/geo/countries.ts
Master data,Bank accounts,Bank account management with opening balances,Implemented,complete,automated - verify:bank-opening 18/18,unverified,None,src/app/(app)/finance/bank-accounts
Localisation,Bilingual dictionary,Every user-facing string has an Arabic entry,"The dictionary itself is complete: 1,587 entries, exactly one without Arabic and it is the placeholder you@company.com. This measures the dictionary, NOT UI coverage.",complete,automated - all entries parsed 12 Sep 2026,unverified,None for the dictionary itself - see the two UI-coverage rows below,src/lib/i18n/dict.ts
Localisation,UI coverage — keys missing from the dictionary,Every string passed to t() has an Arabic entry,"27 distinct keys across 30 call sites are passed to t(locale, ""..."") but are absent from the dictionary. Because English is the dictionary key, these render ENGLISH in Arabic, silently — no error, no missing-key marker.",defective,automated - every literal t() key in src/ checked against the dictionary,unverified,Add the 27 entries; add a static assertion so a missing key fails the gate,"settings/organization/reference-panels.tsx (6), finance/_shared/refund-advance-button.tsx (4), settings/organization/page.tsx (4), + 10 more files"
Localisation,UI coverage — strings never routed through t(),No user-visible English is hardcoded,"~50 literal English strings sit in title/label/placeholder/description props across 24 files, never passed to t() at all — including three dashboard KPI titles (Total Sales, Total Invoices, Total Receivables), vendor/product/employee form labels, and the customer-facing print template SUPPLY FROM / DELIVERED TO. An upper bound: a few are deliberate example placeholders.",defective,automated - static prop sweep; corroborated by a 29-route Arabic browser sweep,unverified,Route them through t(); exclude genuine placeholders deliberately,"purchasing/vendors/vendor-form.tsx (8), inventory/products/product-form.tsx (7), dashboard/page.tsx (4), app/print/[type]/[id]/page.tsx (3), + 20 more"
Localisation,English fallback safety,A missing translation renders correct English not a broken key,English is the dictionary key,complete,automated,unverified,None,src/lib/i18n/dict.ts
Localisation,RTL layout,Arabic renders right-to-left with mirrored layout,dir set at the document root,complete,automated - browser tier,unverified,Per-route completeness not exhaustively verified,src/app/layout.tsx:42
Localisation,LTR-forced numerics in RTL,Numbers dates and currency stay LTR inside RTL pages,Convention documented and applied,complete,source + browser tier,unverified,None,CLAUDE.md
Localisation,Arabic account names,Chart of accounts bilingual,Implemented,complete,automated - verify-account-arabic 34/34,unverified,None,verify/verify-account-arabic.mjs
Localisation,Bilingual confirm dialogs,Confirm policy copy in both languages,Implemented; suite fails loudly on a missing Arabic string,complete,automated - verify:confirm-policy 62/62,unverified,None,verify/verify-confirm-policy.mts
Localisation,Currency marks,SAR renders an inline SVG on pages and an img in PDFs; USD renders text,Implemented in both forms,complete,automated - verify-note-currency 19/19,unverified,None,src/components
Localisation,Amount in words,Totals rendered in words,Implemented via n2words,partial,source,unverified,Arabic amount-in-words correctness not verified by this audit,package.json n2words
Security,Authentication - JWT cookie,Custom JWT session with no insecure fallback,AUTH_SECRET required with no fallback,complete,source - CI assertion exists but never executes,unverified,Fix the CI crash so the guard actually runs,src/lib/auth.ts
Security,Cookie hardening,__Host- prefix in production,Implemented; plain name in dev since __Host- is rejected over http,complete,source,unverified,None,src/lib/auth.ts:6
Security,Session revocation,A revoked session is rejected server-side not merely expired,Re-checked server-side and the cookie deleted at a response boundary,complete,source,unverified,None,src/lib/session.ts:89
Security,MFA,TOTP with recovery codes,Implemented; secrets encrypted AES-256-GCM with versioned rotation,complete,automated - crypto-policy 18/18,unverified,None,src/app/(app)/settings/security/actions.ts
Security,Password policy,Composition common-password history and expiry,Implemented,complete,automated - crypto-policy,unverified,None,src/lib/security
Security,Tenant isolation,Every tenant-owned query scoped by orgId,tenantScope applies orgId and a soft-delete default; convention enforced by tests not by the database,complete,automated - access-control checks 1-6 run in CI,unverified,No row-level security; a query that forgets tenantScope is a cross-tenant read,src/lib/tenant.ts
Security,Role model,Three roles asserted against real guards in both directions,Implemented as data so the panel cannot drift,complete,automated - verify:role-matrix 32/32,unverified,None,src/lib/role-matrix.ts
Security,Segregation of duties,Ledger-posting actions restricted by role,staff has full on Sales and Finance including voiding invoices and issuing notes. Documented and intentional,deferred,automated - verify:role-matrix,unverified,Owner decision,src/lib/role-matrix.ts
Security,File upload validation,MIME allowlist size caps magic bytes dimensions,Implemented thoroughly; SVG deliberately excluded; server-generated filenames,complete,source,unverified,None,src/lib/storage/blob-storage.ts:31-90
Security,Upload proxy authorization,Files served only to the owning org or a valid signed URL with audit,Implemented well - path validation org match filename allowlist session or HMAC and an append-only access log,complete,source - CI assertions exist but never execute,unverified,Fix the CI crash,src/app/uploads/[...path]/route.ts
Security,Blob object access control,Stored objects reachable only by authorized users,Written public with addRandomSuffix false; the proxy's auth tenancy and audit are bypassed by URL possession. No caller currently emits an absolute blob URL,defective,source - both files traced and callers enumerated,unverified,Private blobs with token-scoped reads or accept and document obscurity-based confidentiality,src/lib/storage/blob-storage.ts:98
Security,Signed URLs,HMAC-SHA256 constant-time compare and expiry,Implemented,complete,source - CI assertion never executes,unverified,Fix the CI crash,src/lib/security/signed-url.ts
Security,Customer PII at rest,Personal data protected,customers name email phone address stored plaintext; only MFA credentials encrypted,missing,source,unverified,Blind index or separate display column - breaks search sort and import dedupe either way,docs/backlog.md
Security,Secret handling,No committed secrets,gitleaks passing; .env gitignored,complete,automated - gitleaks green in CI,unverified,The .env assertion itself never executes due to the crash,.gitignore:35
Security,Compliance claims honesty,The product does not claim certification it does not hold,Corrected to a self-assessed readiness checklist; asserted to stay honest,complete,automated - verify-compliance-claims 26 checks,unverified,This audit adds no compliance conclusion,src/app/(app)/settings/compliance
Platform,Production build,The application builds for production,Succeeds - exit 0 on 12 Sep 2026,complete,automated - npm run build run here,unverified,None,-
Platform,CI static analysis,tsc and eslint gate every push,Both pass,complete,automated - CI job success,unverified,None,.github/workflows/devsecops.yml
Platform,CI secret scanning,gitleaks on every push,Passes,complete,automated - CI job success,unverified,None,.github/workflows/devsecops.yml
Platform,CI security test suite,All committed security assertions run,Crashes at assertion 7 of 17 on a stale path; 11 assertions never execute and db:push plus build are skipped,defective,automated - CI logs retrieved,unverified,Fix tests/security/access-control.test.mjs:51 then confirm the remaining 11 pass,tests/security/access-control.test.mjs:51
Platform,CI coverage of verify tiers,The project's real quality evidence runs automatically,CI runs none of the 71 verify suites,missing,automated - workflow read,unverified,Add verify:static and verify:server with a Postgres service,.github/workflows/devsecops.yml
Platform,Dependency currency,No known-vulnerable dependencies,18 advisories including 1 critical - next 16.2.10 carries 11 advisories including unauthenticated RCE,defective,automated - npm audit 12 Sep 2026,unverified,next@16.3.5 is non-breaking and clears critical plus two high; puppeteer-core needs a major-version decision,package.json
Platform,Schema deployment path,Schema reproducible and safely deployable,db:push is the only correct path; generated migrations stale 146 commits and db:migrate would apply nothing,partial,automated - journal read and fresh push verified,unverified,Regenerate or delete the migrations and remove db:migrate from package.json,drizzle/meta/_journal.json
Platform,Deploy runbooks,Deploy steps documented with ordering and reasons,Four runbooks; the newest verified accurate against the pushed schema in every particular,complete,automated - verified against a fresh db:push,unverified,None,docs/backlog.md
Platform,Health check endpoint,Operational liveness visible,None found,missing,source,unverified,Add /api/health,-
Platform,Monitoring and error tracking,Errors and outages observable,None found,missing,source,unverified,Choose an error tracker,-
Platform,Backup and restore,Recoverable from backup,Documented; never exercised in this audit,unknown,blocked,unverified,Perform and document a restore drill,docs/security/backup-dr.md
Platform,Rollback procedure,Documented application rollback,None documented; the four pending columns are additive so code rollback is safe,partial,source,unverified,Document the procedure,-
Platform,Performance baseline,Known behaviour under load,No measurement taken; every route is dynamic and there is no background work,unknown,blocked,unverified,Measure before engineering anything,-
Cross-cutting,Responsive layout,Usable on tablet and mobile,Desktop 1440px: 0 of 29 routes overflow horizontally. Tablet 768px: 29 of 29. Mobile 390px: 29 of 29 — div.topbar-actions renders 653px wide against a 390px viewport. The product is desktop-only in practice.,defective,measured - 29 routes x 3 viewports in Chromium,unverified,Make the topbar actions and page shells wrap or collapse below ~1024px; then re-measure,evidence/repro-ui-coverage.log
